algorithm,condition,evaluations,event_id,feasible_front_size,hv,igd,seconds,seed_index
MOABC,normal,4000,P06,25,1.2254335221058617,0.07675335521206282,17.60074060037732,0
MOABC,normal,4000,P06,26,1.249712547738261,0.06349758448758981,17.701310199685395,1
MOABC,normal,4000,P06,25,1.2397308557120503,0.06143626239038361,17.70538119971752,2
MOABC,normal,4000,P06,25,1.1864999704251649,0.0775170843586709,17.855349000077695,3
MOABC,normal,4000,P06,27,1.2345444940218637,0.0665904964469513,17.952794699929655,4
MOABC,normal,4000,P06,31,1.2095214643134324,0.08277446462299953,17.99520089989528,5
MOABC,normal,4000,P06,22,1.2172611185166893,0.054379317946464605,17.6808493998833,6
MOABC,normal,4000,P06,18,1.2090507595251252,0.0551301651211399,18.375341299921274,7
MOABC,normal,4000,P06,17,1.1156110243948065,0.06511762356735318,17.868494000285864,8
MOABC,normal,4000,P06,24,1.2568864517243188,0.06394627199301635,17.95646490016952,9
MOEA/D,normal,4000,P06,25,1.1999877867723858,0.10684581942631077,14.844372499734163,0
MOEA/D,normal,4000,P06,17,1.200453837788525,0.07594249012217066,14.62538650026545,1
MOEA/D,normal,4000,P06,16,1.1773980521248095,0.10274810859717051,14.626899700146168,2
MOEA/D,normal,4000,P06,16,1.1347011514097198,0.08929827588181323,14.83141539990902,3
MOEA/D,normal,4000,P06,12,1.1395367615389302,0.11328832294457995,14.512211000081152,4
MOEA/D,normal,4000,P06,21,1.143956475585671,0.1002763928904654,14.966292699798942,5
MOEA/D,normal,4000,P06,14,1.1876217150931112,0.09023518246481951,15.214216200169176,6
MOEA/D,normal,4000,P06,19,1.1477199649765328,0.12770919720532223,15.04977359995246,7
MOEA/D,normal,4000,P06,16,1.225718792207166,0.07384133401949647,15.199922599829733,8
MOEA/D,normal,4000,P06,14,1.1529444800901711,0.07442960381898842,14.87669500010088,9
MOPSO,normal,4000,P06,6,0.989086433033208,0.2864186172447742,14.47960799979046,0
MOPSO,normal,4000,P06,4,1.1444659115464224,0.25337853231030005,14.479495200328529,1
MOPSO,normal,4000,P06,6,1.0107656719878737,0.257288455748646,14.772813600022346,2
MOPSO,normal,4000,P06,9,1.084910171223488,0.2515066042449511,14.780044800136238,3
MOPSO,normal,4000,P06,1,1.236492914940621,0.2142038971601624,14.630817899946123,4
MOPSO,normal,4000,P06,5,1.1700777793252213,0.2353332278452764,14.577702400274575,5
MOPSO,normal,4000,P06,2,1.2823721124826533,0.20198441171422044,14.599647399969399,6
MOPSO,normal,4000,P06,7,1.2977095886954781,0.16589840133542205,14.813335199840367,7
MOPSO,normal,4000,P06,8,1.1714879716197721,0.23543297898346022,14.668999499641359,8
MOPSO,normal,4000,P06,12,0.9013898993707016,0.33916603444618915,14.601342600304633,9
NSGA-III,normal,4000,P06,13,1.1015498740191754,0.09627822065625938,22.78543859999627,0
NSGA-III,normal,4000,P06,13,1.0159939078124138,0.10826530348969764,22.80185199994594,1
NSGA-III,normal,4000,P06,7,1.085968578762101,0.07708556606704353,22.085667399689555,2
NSGA-III,normal,4000,P06,15,1.0255672163981766,0.09625798289689218,22.56325350003317,3
NSGA-III,normal,4000,P06,16,1.0448967282816206,0.1178190144506585,23.087176600005478,4
