algorithm,condition,evaluations,event_id,seconds,seed_index
NSGA-III,normal,4000,P06,22.8341602999717,9
NSGA-II,normal,4000,P06,20.445204799994826,0
NSGA-II,normal,4000,P06,20.123780800029635,1
NSGA-II,normal,4000,P06,20.241849900223315,2
NSGA-II,normal,4000,P06,19.68003510031849,3
NSGA-II,normal,4000,P06,20.36799110006541,4
NSGA-II,normal,4000,P06,19.9386698002927,5
NSGA-II,normal,4000,P06,19.603801500052214,6
NSGA-II,normal,4000,P06,20.261057700030506,7
NSGA-II,normal,4000,P06,20.046766200102866,8
NSGA-II,normal,4000,P06,19.748500199988484,9
SPEA2,normal,4000,P06,45.87289169989526,0
SPEA2,normal,4000,P06,45.81261149980128,1
SPEA2,normal,4000,P06,45.72353069996461,2
SPEA2,normal,4000,P06,45.61561560025439,3
SPEA2,normal,4000,P06,45.79260420007631,4
SPEA2,normal,4000,P06,46.23687409982085,5
SPEA2,normal,4000,P06,46.734250500332564,6
SPEA2,normal,4000,P06,47.94803769979626,7
SPEA2,normal,4000,P06,46.38373519992456,8
SPEA2,normal,4000,P06,46.55144389998168,9
MOABC,matched,4000,P07,22.738211499992758,0
MOABC,matched,4000,P07,23.1762450998649,1
MOABC,matched,4000,P07,22.15175799978897,2
MOABC,matched,4000,P07,22.543001499958336,3
MOABC,matched,4000,P07,21.669147599954158,4
MOABC,matched,4000,P07,15.29904010007158,5
MOABC,matched,4000,P07,15.68095099972561,6
MOABC,matched,4000,P07,17.113124900031835,7
MOABC,matched,4000,P07,21.75618640007451,8
MOABC,matched,4000,P07,21.631787499878556,9
MOEA/D,matched,4000,P07,12.723398200236261,0
MOEA/D,matched,4000,P07,12.580146099906415,1
MOEA/D,matched,4000,P07,12.54284660005942,2
MOEA/D,matched,4000,P07,12.767734799999744,3
MOEA/D,matched,4000,P07,12.691651999950409,4
MOABC,normal,4000,P07,17.07816920010373,0
MOABC,normal,4000,P07,16.85185329988599,1
MOABC,normal,4000,P07,17.055531800258905,2
MOABC,normal,4000,P07,17.051792999729514,3
MOABC,normal,4000,P07,17.274763900320977,4
MOABC,normal,4000,P07,16.661912300158292,5
MOABC,normal,4000,P07,16.785103200003505,6
MOABC,normal,4000,P07,16.903683399781585,7
MOABC,normal,4000,P07,17.09181459993124,8
MOABC,normal,4000,P07,17.135801100172102,9
MOEA/D,normal,4000,P07,13.416172899771482,0
MOEA/D,normal,4000,P07,13.517677399795502,1
MOEA/D,normal,4000,P07,13.37271079979837,2
MOEA/D,normal,4000,P07,13.467761300038546,3
MOEA/D,normal,4000,P07,13.47643469972536,4
MOEA/D,normal,4000,P07,13.234831399749964,5
MOEA/D,normal,4000,P07,13.203308300115168,6
MOEA/D,normal,4000,P07,13.355149400420487,7
MOEA/D,normal,4000,P07,13.109485199674964,8
MOEA/D,normal,4000,P07,12.598552499897778,9
MOPSO,normal,4000,P07,12.276261600200087,0
MOPSO,normal,4000,P07,12.144740200135857,1
MOPSO,normal,4000,P07,12.235669299960136,2
MOPSO,normal,4000,P07,12.209430900402367,3
MOPSO,normal,4000,P07,12.232887999620289,4
MOPSO,normal,4000,P07,12.703885900322348,5
MOPSO,normal,4000,P07,12.52565099997446,6
MOPSO,normal,4000,P07,12.57934150006622,7
MOPSO,normal,4000,P07,12.281846700236201,8
MOPSO,normal,4000,P07,12.205084499903023,9
NSGA-III,normal,4000,P07,21.03999700024724,0
NSGA-III,normal,4000,P07,22.27439250005409,1
NSGA-III,normal,4000,P07,21.000218000262976,2
NSGA-III,normal,4000,P07,21.12550019985065,3
